c5,remark,,,,,,,,
WX: OMN 191950 13008KT 10SM SCT35 32/23 A3007,,,,,,,,,
20190819017829A,"ON AUGUST 19, 2019, AT APPROXIMATELY 18:30 LOCAL TIME, AIRCRAFT N634SC AN AMATEUR BUILT EXPERIMENTAL GYROCOPTER, A SPORTCOPTER VORTEX, DEPARTED RUNWAY 29 AT THE VIROQUA MUNICIPAL AIRPORT, VIROQUA, WI (Y51) WITH AN EXPIRED STUDENT PILOT AT THE CONTROLS. THE WITNESSES REPORTED THE PILOT WAS PRACTICING TAXING BACK AND FORTH. ON THE LAST TAXI DOWN RUNWAY 29 THE AIRCRAFT BECAME AIRBORNE. THE AIRCRAFT CIRCLED AROUND AND FLEW OVER RUNWAY 29 AND DEPARTED THE AIRPORT. THE WITNESS HEARD THE ENGINE STOP, THE AIRCRAFT WAS OUT OF SIGHT AT THE TIME. A WITNESS HEARD A THUD SOUND AND SHORTLY AFTER SMOKE WAS SEEN NEAR THE LAST VISUAL CONTACT WITH THE AIRCRAFT. A WITNESS WHO SAW THE SMOKE WENT TO INVESTIGATE AND FOUND THE MAIN ROTOR FIRST THEN APPROXIMATELY 20-40 FEET AFTER THE REMAINING PORTION OF THE AIRCRAFT ON FIRE. THE LOCATION OF THE ROTOR AND REMAINING PORTION OF THE AIRCRAFT WAS ABOUT .40 MILE FROM THE RUNWAY IN A CORN/ALFALFA FIELD CONSISTENT WITH THE LAST KNOWN DIRECTION OF TRAVEL AT AN APPROXIMATE HEADING OF 290 DEGREES. THE AIRCRAFT WAS DESTROYED BY THE IMPACT AND SUBSEQUENT FIRE. THE PILOT RECEIVED FATAL INJURIES FROM THE ACCIDENT. VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME.",,,,,,,,
20190819017839A,"ON AUGUST 19, 2019 AT 1:56 PM LOCAL, PILOT IN COMMAND ^PRIVACY DATA OMITTED^ STATED THAT AFTER LANDING ON RUNWAY 6 AT OCRACOKE ISLAND AIRPORT (W95) IN OCRACOKE NORTH CAROLINA, THE WINDS HAD SHIFTED TO A QUARTERING TAILWIND WHICH WAS CAUSING THE AIRCRAFT TO DRIFT OFF THE RUNWAY.  HE INITIATED A GO-AROUND AND THE WIND BLEW N566WV INTO THE TREES OFF OF RUNWAY 6.  HE STATED THAT THERE WERE 2 SOULS ON BOARD WITH MINOR INJURIES LIKE CUTS AND BRUISES.",,,,,,,,
,,,,,,,,,
"ON SEPTEMBER 5, 2019,^PRIVACY DATA OMITTED^ RETURNED MY CALL.  DURING THE CALL ^PRIVACY DATA OMITTED^ STATED THAT HE SAW PONDING ON THE RUNWAY WHILE HE WAS INITIATING THE GO-AROUND AND WAS CONCERNED THAT IF THE AIRCRAFT'S LANDING GEAR WENT THROUGH THE WATER IT WOULD CAUSE THE DRIFTING OFF OF THE RUNWAY TO GET WORSE.",,,,,,,,,
20190820013889A,PILOT STATED HE DETECTED A BURNING SMELL SHORTLY AFTER DEPARTURE FROM EUG AIRPORT. HE NOTICED WHAT APPEARED TO BE SMOKE DOWN AROUND THE CO-PILOTS RUDDER PEDAL AREA.  PILOT DECLARED AN EMERGENCY AND RETURNED TO THE EUG AIRPORT. THE PILOT FAILED TO SELECT GEAR DOWN THEREFORE LANDED WITH THE GEAR IN THE UP POSITION. AFTER SLIDING TO A STOP THE PILOT TURNED ALL POWER OFF AND SECURED THE AIRCRAFT.,,,,,,,,
20190820013899A,"ON AUGUST 20, 2019, ABOUT 1115 EASTERN DAYLIGHT TIME, AN AERO COMMANDER (MEYERS) 200D AIRPLANE IMPACTED TERRAIN SHORTLY AFTER DEPARTING THE LIVINGSTON COUNTY SPENCER J HARDY AIRPORT (OZW), HOWELL, MICHIGAN. THE PILOT AND PILOT RATED PASSENGER RECEIVED FATAL INJURIES AND THE AIRPLANE WAS SUBSTANTIALLY DAMAGED. ",,,,,,,,
"ACCORDING TO REPORTS, THE AIRPLANE HAD RECENTLY UNDERGONE MAINTENANCE, INCLUDING THE INSTALLATION OF A FIELD OVERHAULED ENGINE AND A NEW 3-BLADED PROPELLER. THE PURPOSE OF THE FLIGHT",,,,,,,,,
"WAS FOR A MAINTENANCE TEST FLIGHT FOR THE AIRPLANE. THE PILOT-RATED PASSENGER, SEATED IN THE RIGHT SEAT, WAS ALSO A MECHANIC WHO HAD PERFORMED THE RECENT WORK ON THE AIRPLANE. THE PILOT, SEATED",,,,,,,,,
"IN THE LEFT SEAT, OWNED A SIMILAR AIRPLANE MAKE AND MODEL.",,,,,,,,,
THE AIRPLANE WAS FLOWN EARLIER IN THE DAY. THE AIRPLANE WAS THEN FUELED WITH 34.4 GALLONS OF FUEL. IT IS UNKNOWN IF ANY ADJUSTMENTS OR MAINTENANCE ITEMS WERE ACCOMPLISHED BEFORE THE SECOND FLIGHT.,,,,,,,,,
"WITNESSES REPORTED THAT THE AIRPLANE DEPARTED RUNWAY 13 AT OZW; THEY ADDED THAT WHEN THE AIRPLANE WAS ABOUT 200 TO 300 FT IN THE AIR, THE AIRPLANE APPEARED TO STOP ITS CLIMB AND WAS",,,,,,,,,
"SILENT. ONE WITNESS REPORTED THAT IT LOOKED LIKE THE AIRPLANE TRIED TO TURN BACK TO THE RUNWAY, BEFORE ENTERING A RAPID DECENT.",,,,,,,,,
THE AIRPLANE IMPACTED TERRAIN AND CAME TO REST ABOUT 600 FT BEYOND THE DEPARTURE END OF THE RUNWAY.,,,,,,,,,
20190820013909A,"AT APPROXIMATELY 09:16 AM ON AUGUST 20TH, 2019 A SINGLE PILOT GRUMMAN AG CAT MODEL G-164B SERIAL NUMBER 765B AERIAL APPLICATION AIRCRAFT TOOK OFF EAST FROM A PRIVATE AIRSTRIP FOR AN AERIAL APPLICATION MISSION LOADED WITH 155.8 GALLONS OF INSECTICIDE FOR THE FIRST SPRAY OF THE DAY. TRAVEL TO THE APPLICATION SITE REQUIRED THE AIRCRAFT TO TURN NEARLY 180 DEGREES BACK TO THE WEST IMMEDIATELY AFTER TAKE-OFF. THE WEATHER CONDITIONS WERE CLEAR WITH A LIGHT WIND (APPROXIMATELY 8 MPH) FROM THE SOUTH TEMPERATURE WAS AROUND 80 DEGREES. SHORTLY AFTER TAKE-OFF, THE GROUND CREW WITNESSED SMOKE IN THE DISTANCE AND COULD NO LONGER SEE OR HEAR N3631Z IN FLIGHT. NO WITNESSES CAME FORWARD TO DESCRIBE THE ACTUAL EVENT.",,,,,,,,
THE ACCIDENT SITE IS LOCATED APPROXIMATELY .6 MILES AND ABOUT 40 DEGREES NORTH OF THE END OF THE EAST/WEST PRIVATE AIRSTRIP FROM WHICH THE FLIGHT ORIGINATED. THE ON SCENE INVESTIGATION DISCOVERED IMPACT DAMAGE CONSISTENT WITH A LOW ALTITUDE STALL SPIN. FIRST CONTACT WITH THE GROUND IS EVIDENCED BY LIGHT GROUND SCARS DISSECTING THE SANDY COUNTRY ROAD AT ABOUT A 45 DEGREE ANGLE. TWO LONG GROUND SCARS IN PARTICULAR APPEAR TO HAVE BEEN MADE BY THE LEFT WINGS (AIRCRAFT IS A BI-WING) WITH ADDITIONAL SCARING MADE BY EITHER LEFT MAIN GEAR OR TAIL NOTED. YELLOW PAINT TRANSFER WAS DISCOVERED IN THE ROAD SCARS. THE SMALL RADIUS OF THE AIRCRAFT DEBRIS FIELD EVIDENCES A NEARLY VERTICAL GROUND IMPACT. THE NEAR VERTICAL IMPACT IS ALSO EVIDENCED BY BOTH LEFT AND RIGHT WING LEADING EDGES BEING ?CRUSHED? IN A NEAR HEAD ON MANNER FROM THE WINGTIPS TO THE SPARS. FURTHER EVIDENCE OF A NEAR VERTICAL IMPACT INCLUDE MUD AND GRASS SMASHED INTO THE COOLING FINS OF THE BOTTOM ENGINE CYLINDERS AS WELL AS CRUSHED EXHAUST PIPE INDICATING A VERY HARD ENGINE/NOSE IMPACT DRIVING THE BOTTOM OF THE ENGINE BACK TOWARD THE FIREWALL. THE AIRCRAFT CAME TO REST AFTER SPINNING TO THE LEFT (TAIL TO THE RIGHT) WITH THE WINGS COMING TO REST POINTED PERPENDICULAR TO THE ROAD BACK IN THE DIRECTION OF THE AIRSTRIP. WEIGHT AND MOMENTUM OF THE FUSELAGE CARRIED IT AROUND IN A LEFT ROTATION UNTIL THE FUSELAGE TAIL WAS CLOSER TO THE RIGHT WINGS THEN THE LEFT. THE FUSELAGE ROLLED TO THE RIGHT IN THE DIRECTION OF MOMENTUM UNTIL NEARLY UPSIDE DOWN WITH THE TAIL GEAR WHEEL POINTING INTO THE AIR AT ABOUT 120 DEGREE ANGLE FROM THE GROUND. ,,,,,,,,,
"DURING THE GROUND IMPACT, THE 9 CYLINDER RADIAL ENGINE BROKE FREE OF THE ENGINE MOUNTS AND CONTINUING IN THE DIRECTION OF TRAVEL LANDING UPSIDE DOWN (NUMBER 1 CYLINDER FACING STRAIGHT DOWN) FACING AWAY FROM THE AIRCRAFT BETWEEN THE FUSELAGE TAIL AND RIGHT WING TIP. THE PROPELLER WAS FOUND WITH ONE BLADE BENT STRAIGHT BACK. THE BEND IN THE BLADE ORIGINATED ABOUT A FOOT FROM THE HUB AND WENT 90 DEGREES BACKWARD. THE OTHER BLADE WAS FOUND IN NEAR NORMAL CONFIGURATION WITH THE OUTER THIRD IMBEDDED INTO THE SOFT GROUND/MUD. GRASS AND DIRT FOUND IMPACTED/FORCED INTO THE GLAND NUT AND UNDER THE PROPELLER HUB ONCE AGAIN INDICATING THE AIRCRAFT MADE A NEARLY VERTICAL IMPACT. ",,,,,,,,,
POST-CRASH FIRE CONSUMED MUCH OF THE COCKPIT FLIGHT CONTROLS OF THE AIRCRAFT MAKING POST ACCIDENT FLIGHT CONTROL CONTINUITY CHECK DIFFICULT TO DETERMINE. IF NEW EVIDENCE IS DISCOVERED IN A POST-ACCIDENT ENGINE TEAR DOWN THIS REPORT WILL BE MODIFIED TO INCORPORATE THE NEW EVIDENCE.,,,,,,,,,
20190820013929A,"THE PILOT OF N90AP, PIPER PA-31P, REPORTED LEFT ENGINE FAILURE IN FLIGHT AND MADE AN EMERGENCY LANDING IN A FIELD LOCATED NEAR EAST BRADY, PA. THE AIRCRAFT SUSTAINED SUBSTANTIAL DAMAGE.",,,,,,,,
NO PASSENGER AND NO INJURIES REPORTED.,,,,,,,,,
20190820015429A,"DURING DEPARTURE ROLLOUT AND TAKEOFF ACCELERATION; POWER APPLIED; SEAT SLIPPAGE OCCURRED, PREVENTING THE PILOT FROM MANIPULATING THE AIRCRAFT CONTROLS. DUE TO ENGINE TORQUE, A GROUND LOOP WAS INDUCED CAUSING THE RIGHT MAIN LANDING GEAR TO SHEAR OFF.",,,,,,,,
20190820016829A,"WHILE OPERATING LOW OVER THE WATERS OFF CYPRESS ISLAND, THE HELICOPTER MAIN ROTOR STRUCK A TREE LIMB PROJECTING OUT FROM THE NEARBY SHORE. AS A RESULT, THE HELICOPTER CRASHED IN APPROXIMATELY FOUR FEET OF WATER JUST OFF THE BEACH ON THE NORTH SIDE OF THE ISLAND. THE PILOT AND ALL PASSENGER WERE ABLE TO ESCAPE THE AIRCRAFT. THE PILOT AND ONE PASSENGER HAD NO MORE THAN MINOR INJURIES WHILE THE SECOND PASSENGER SUFFERED A BONE FRACTURE, OTHER THAN A SIMPLE FRACTURE.",,,,,,,,
20190820017849I,"PILOT STARTED BOTH ENGINES OF HIS AIRCRAFT. TRIED TO TAXI BUT DID NOT REMOVE CHOCKS. PILOT ENGAGED PARKING BRAKE WITH BOTH ENGINES RUNNING. PILOT EXITED AIRCRAFT TO REMOVE CHOCKS, ONCE BOTH CHOCKS WERE REMOVED THE AIRCRAFT TAXIED INTO HANGAR DOOR WITH PILOT CHASING AIRCRAFT.",,,,,,,,
20190820017859A,"A BEECH A36 SINGLE ENGINE AIRCRAFT WITH TWO PERSONS ONBOARD SUCCESSFULLY DITCHED INTO THE PACIFIC OCEAN APPROXIMATELY 3-4 MILES SOUTH WEST OF HALF MOON BAY, CALIFORNIA AND 1-2 MILES FROM SHORE/COAST. ",,,,,,,,
BOTH OCCUPANTS EXITED THE AIRCRAFT FOLLOWED BY THE AIRCRAFT SINKING. THERE WERE NO INJURIES TO THE PILOT AND PASSENGER. ,,,,,,,,,
BOTH PERSONS WERE RESCUED BY A US COAST GUARD HELICOPTER ABOUT 45 MINUTES AFTER THE DITCHING. ,,,,,,,,,
"THE PILOT REPORTED THAT THE AIRCRAFT LOST POWER AT 3000 FEET, LEVEL FLIGHT AND HE MADE SEVERAL ATTEMPTS TO RESTART THE ENGINE PRIOR TO THE DITCHING.",,,,,,,,,
20190820019069A,"PILOT STATED THAT AS HE CAME OVER THE MESA AND LEVELED OFF TO START THE APPLICATION OF PESTICIDE, THE HELICOPTER YAWED LIKE A GUST OF WIND HIT THE TAIL ROTOR. BEFORE HE REALIZED IT WAS THE ENGINE HE WAS TOO LOW FOR A RELIGHT OR AUTOROTATION.",,,,,,,,
20190821013849A,"ON AUGUST 21, 2019 AT APPROXIMATELY 1246 LOCAL TIME N2299F LANDED GEAR UP AT TAMPA INTERNATIONAL AIRPORT ON RUNWAY 19L. THE AIRCRAFT ATTEMPTED TO LAND AT X05 PILOT COUNTRY AIRPORT. BUT WHEN GEAR HANDLE WAS DOWN ONLY 2 GEAR INDICATOR LIGHTS ILLUMINATED NOSE AND LEFT MAIN. UPON LANDING ON RUNWAY 18 WHEN THE AIRCRAFT STARTED TO SLOW DOWN RIGHT MAIN GEAR STARTED TO COLLAPSE AFTER ANOTHER ATTEMPT WITH SAME RESULTS AN EMERGENCY WAS DECLARED AND AIRCRAFT WAS DIVERTED TO TAMPA INTERNATIONAL AIRPORT. A LOW PASS AND FLY-BY WAS CONDUCTED TO VERIFY GEAR WAS DOWN. THE TOWER REPORTED THAT GEAR APPEARED TO BE DOWN SO THE PILOT ATTEMPTED TO LAND ON RUNWAY 19R BUT HAD THE SAME RESULTS AS THE PREVIOUS ATTEMPTS. PILOT DECIDED TO LAND GEAR UP AND WAS INSTRUCTED TO LAND ON RUNWAY 19L. AIRCRAFT LANDED GEAR UP WHICH CAUSE SUBSTANTIAL DAMAGE TO THE AIRCRAFT.",,,,,,,,
20190821013859A,"ON AUGUST 21, 2019, ABOUT 1132 PACIFIC DAYLIGHT TIME, A CESSNA 560XL AIRPLANE, N91GY, OVERRAN THE DEPARTURE END OF RUNWAY 2 FOLLOWING A REJECTED TAKEOFF FROM OROVILLE MUNICIPAL AIRPORT (OVE), OROVILLE, CALIFORNIA. THE TWO AIRLINE-TRANSPORT PILOTS AND 8 PASSENGERS WERE NOT INJURED. THE AIRPLANE WAS DESTROYED BY A POST-CRASH GRASS FIRE THAT CONSUMED A MAJORITY OF THE AIRPLANE. THE AIRPLANE WAS REGISTERED TO JOTTS LLC, AND WAS OPERATED BY DELTA PRIVATE JETS, UNDER THE PROVISIONS OF TITLE 14 CODE OF FEDERAL REGULATIONS PART 135 AS AN ON-DEMAND CHARTER FLIGHT. VISUAL METEOROLOGICAL CONDITIONS PREVAILED, AND AN INSTRUMENT FLIGHT RULES FLIGHT PLAN WAS FILED. THE FLIGHT WAS ORIGINATING AT THE TIME OF THE ACCIDENT AND WAS DESTINED FOR PORTLAND INTERNATIONAL AIRPORT (PDX), PORTLAND, OREGON. ",,,,,,,,
,,,,,,,,,
"FOLLOWING COMPLETION OF THE BEFORE TAKEOFF CHECKLIST, THE PILOTS INITIATED TAKEOFF, AND THE NON-FLYING PILOT CALLED AIRSPEED ALIVE, V1, AND VR.  THE PILOT STATED THAT ?IT WAS JUST A WEIRD SENSATION? AS HE PULLED THE YOKE BACK AND THE AIRPLANE DIDN?T LIFT OFF.  THE PILOT STATED HE PULLED THE YOKE BACK A SECOND TIME AND NOTICED NO MOVEMENT OF THE NOSE.  SHORTLY AFTER, THE NON-FLYING PILOT CALLED FOR AN ABORT, AND THE FLYING PILOT APPLIED FULL THRUST REVERSERS AND MAXIMUM BRAKING.  SUBSEQUENTLY, THE AIRPLANE EXITED THE DEPARTURE END OF THE RUNWAY, IMPACTED A DITCH, AND SKIDDED ACROSS A GRASS COVERED AREA, WHERE A POST IMPACT FIRE ENSUED.  ",,,,,,,,,
,,,,,,,,,
"EXAMINATION OF THE ACCIDENT SITE REVEALED THAT THE AIRPLANE CAME TO REST ABOUT 1,990 FT BEYOND THE DEPARTURE END OF RUNWAY 2, ON A HEADING OF ABOUT 060° MAGNETIC.  ",,,,,,,,,
,,,,,,,,,
"EXAMINATION OF THE RUNWAY REVEALED TIRE TRANSFER MARKS WHICH ORIGINATED FROM THE RUNWAY 2 HOLD SHORT LINE AND PROGRESSED ONTO THE RUNWAY, AND CONTINUED THROUGHOUT THE ENTIRE LENGTH OF THE RUNWAY, OVERRUN, ADJACENT RUNWAY, GRASSY AREA, TAXIWAY, AND GRASSY AREA NEAR THE MAIN WRECKAGE.  ",,,,,,,,,
,,,,,,,,,
FDR ANALYSIS INDICATES THE AIRCRAFT DID NOT ACCELERATE PROPERLY.,,,,,,,,,
20190821013869I,"DURING TOUCHDOWN, THE PILOT STATED THAT HE ENCOUNTERED A DUSTDEVIL DURING LANDING WHICH BROUGHT THE NOSE OF THE AIRPLANE DOWN FURTHER THAN USUAL. THE PILOT ALSO CLAIMED THAT THE HIGH CROWN OF THE RUNWAY, CAUSED THE PROPELLER TO MAKE CONTACT WITH THE GROUND, SHAVING 1/16 TO 1/8 OF AN INCH OFF THE TIPS OF THE PROPELLER. THE PILOT DID NOT FEEL ANY FEEDBACK AND DID NOT KNOW A PROP STRIKE HAD OCCURRED. HE HOT LOADED CHEMICAL AFTER LANDING, AND COMMENCED AERIAL APPLICATION OPERATIONS. HE RETURNED TO HIS HOME AIRPORT (HILL CITY, KS) TO DISCOVER DAMAGE AFTER SHUTDOWN.",,,,,,,,
20190821013879A,"N647C DEPARTED LILY LAKE, AMPHIBIOUS RUNWAY LOCATED ON KGPZ, GRAND RAPIDS AIRPORT.  PIC'S INTENT WAS TO FLY 4 MILES TO THE SOUTH AND PRACTICE LANDINGS ON LAKE POKEGAMA.  THIS AIRPLANE HAD NOT BEEN FLOWN IN OVER A YEAR BECAUSE IT WAS GOING THROUGH A FOREIGN TO U.S.. CONFORMITY INSPECTION.  AN ANNUAL INSPECTION HAD BEEN COMPLETED, THE LAST OIL CHANGE WAS PERFORMED IN 2017, AND THE FUEL WAS A MIX OF FRESH AVGAS AND AUTO FUEL OVER A YEAR OLD.  THE PIC DEPARTED TO THE NW AND IMMEDIATELY TURNED SOUTH AS PLANNED.  .4 NM APPROXIMATELY 30 SECONDS IN THE CLIMB THE PIC EXPERIENCED A PARTIAL POWER LOSS AT ABOUT 400 FT AGL.  THE PIC IMMEDIATELY TURNED EAST INSIDE THE FIELD BOUNDARY WITH THE INTENT TO SET UP LEFT DOWNWIND, LEFT BASE AND LAND BACK ON LILY LAKE.  A GROUND WITNESS STATED THAT THE PLANE WAS HIGHER THAN NORMAL AT THE ABEAM AND AFTER THE PIC STARTED TO MAKE THE LEFT TURN TO FINAL, HE MADE A 360 DEGREE LEFT TURN.  PIC STATES THAT IN THE TURN THE ENGINE DROPS TO 17-18 INCHES, A THROTTLE PUMP GIVES BRIEF POWER BURST, SHORTLY THEREAFTER, TWO POPS AND THE ENGINE DIES.  THEN ON THE FARTHEST EAST PART OF THAT TURN THE PLANE DISAPPEARED IN THE WATER PLANT, THEN THE TAIL WAS SEEN HIGH IN THE AIR CART WHEELING.  THE PIC CONFIRMED THAT HE WAS HIGH ON HIS TURN TO FINAL AND MADE A TURN TO EXTEND HIS DOWNWIND.  BEFORE THAT ADDITIONAL TURNING MANEUVER THE PLANE HAD BEEN FLYING WITH A PARTIAL POWER LOSS FOR APPROXIMATELY 30 SECONDS.  IF THE APPROACH TO LAND HAD BEEN CONTINUED  THE PLANE SHOULD HAVE TOUCHED DOWN IN ANOTHER 30 SECONDS WITH A REDUCED POWER SETTING FOR THE LANDING.  HOWEVER, THE ADDITIONAL TURN MANEUVER ADDED APPROXIMATELY 45-80 SECONDS OF ADDITIONAL FLIGHT AT A HIGHER POWER SETTING, AND AT HALF WAY THROUGH THE 360 DEGREE TURN A COMPLETE POWER LOSS WAS EXPERIENCED.  THIS HAPPENED AT THE MOMENT THE AIRCRAFT WAS AT IT'S FARTHEST POINT EAST OF THE FIELD AND OUTSIDE OF THE FIELD BOUNDARY.  ANALYZING THE TIME AND SPACE, HAD THE AIRPLANE BEEN FLOWN AT AN APPROPRIATE ALTITUDE AND PATTERN THERE WOULD HAVE BEEN ENOUGH ENGINE POWER AND TIME TO EXECUTE A PARTIAL POWER LOSS PRECAUTIONARY EMERGENCY LANDING.  TO THE QUESTION OF TROUBLE SHOOTING AIRBORNE THE PILOT RESPONDED HE WAS PERFORMING A LITTLE TROUBLE SHOOTING.",,,,,,,,
20190821018039A,"ON 21 AUGUST 2019 AT 11:50 AM PDT, AIRCRAFT N4237N, A CESSNA 120, WAS INVOLVED IN AN OFF FIELD LANDING/CRASH OFF THE DEPARTURE END OF LIVERMORE MUNICIPAL AIRPORTS RUNWAY 25L. THE OWNER OF THE AIRCRAFT, WAS THE SOLE PERSON AND PILOT AT THE TIME OF THE EVENT. SHE REPORTS THAT WHEN SHE POWERED UP AND GAINED SPEED DOWN THE RUNWAY, SHE COULD FEEL THE AIRCRAFT WAS TAKING LONGER THAN USUAL TO COME UP TO SPEED. THE AIRSPEED WAS NOT DETERMINED BUT THE AIRCRAFT BECOME AIRBOURN AND CLIMBE TO 50 TO 100 FEET ABOVE GROUND LEVEL, THEN IT STOPPED CLIMBING. THE PILOT VERED LEFT AND SHORTLY AFTER IMPACTED THE GROUND. THE PILOT SUSTAINED INJURIES TO HER ARM AND WAS TAKEN FOR MEDICAL TREATMENT AND LATER RELEASED THAT DAY.",,,,,,,,
20190821019349A,"THE PILOT TOOK OFF FROM KISSIMMEE AIRPORT (KISM) EN-ROUTE TO SEBASTIAN (KX26), FLORIDA.",,,,,,,,
THE TAKE OFF AND CLIMB OUT WERE NORMAL. AS SOON AS KISSIMMEE TOWER RELEASED THEM ON THEIR WAY THE PILOT ACKNOWLEDGED. WITHIN SECONDS OF ENDING HIS RADIO TRANSMISSION THE AIRCRAFT LOST ALL ELECTRICAL POWER AND MORE IMPORTANTLY ENGINE POWER. THE PILOT BEST OPTION WAS TO LAND IN A LARGE OPEN FIELD. HE LANDED AND AS IT SLOWED IT DUG IN AND FLIPPED OVER ONTO ITS ROOF. THE PILOT FOUND A WAY OUT BUT THE PASSENGERS LEGS WERE STUCK IN THE RUDDER PEDALS.,,,,,,,,,
20190821023009A,"ON AUGUST 21, 2019 AT 1545 CDT, A GLIDER AIRCRAFT BEARING REGISTRATION NUMBER N901BG DEPARTED FROM 5C1 IN BOERNE, TX ON A PERSONAL FLIGHT. VISUAL METEROLOGICAL CONDITIONS PREVAILED AT THE TIME. AS THE AIRCRAFT WAS BEING TOWED IN FLIGHT, GLIDER PILOT LOST CONTROL OF THE AIRCRAFT, THE TOW ROPE BROKE AND THE CANOPY SHATTERED. AIRCRAFT RETURNED TO 5C1 AND EXPERIENCED A HARD LANDING ON THE RUNWAY BEFORE COMING TO A STOP. THERE WERE NO INJURIES. THE AIRCRAFT SUSTAINED SUBSTANTIAL DAMAGE.",,,,,,,,
20190822009149I,"AT TOP OF DESCENT INTO HNL AIRPORT, THE CAPTAIN AND FIRST OFFICER NOTICED SMOKE ENTERING THE COCKPIT AND DONNED O2 MASKS.  ECAMS FOLLOWED SECONDS LATER: FWD CARGO SMOKE, AFT CARGO SMOKE, AVIONICS SMOKE, AND A MOMENTARY CHIP DETECTOR INDICATION. AN EMERGENCY WAS DECLARED FOLLOWED BY AN EMERGENCY EVACUATION OF ALL PASSENGERS AND CREW VIA SLIDES UPON LANDING AT HNL.",,,,,,,,
20190822012139A,"PRIOR TO THE ACCIDENT FLIGHT, TWO WITNESSES OBSERVED THE AIRCRAFT TAXIING INTO THE SEAPLANE DOCK AND STRIKING SUBMERGED ROCKS APPROXIMATELY 200 YARDS FROM THE DOCK.  THE AIRCRAFT COME TO AN ABRUPT STOP.  AFTERWARD THE AIRCRAFT CONTINUED TO TAXI TO THE DOCK.  ONE WITNESS STATED THE PILOT TAXIED THE AIRCRAFT BETWEEN TWO BLACK/WHITE HAZARD BUOYS NEAR THE SHORELINE OF RUSSELL COVE.  SHORTLY AFTER THE AIRCRAFT RETURNED TO THE DOCK, THE PILOT BOARDED ONE PASSENGER FOR A PART 91 FLIGHT TO BGR.  WITNESS STATEMENTS AND A VIDEO RECORDING OF THE DEPARTURE BOTH CONFIRM THE AIRCRAFT BECOMING AIRBORNE AT APPROXIMATELY 30', THEN GOING RIGHT WING LOW ALL THE WAY INTO THE WATER.  ON SCENE INVESTIGATION IMMEDIATELY AFTER THE ACCIDENT, INDICATES KEEL DAMAGE TO THE RIGHT FLOAT, THE WATERTIGHT COMPARTMENTS WERE COMPROMISED WITH VISIBLE DAMAGE ABOVE THE STEP AND WATERLINE ON THE LEFT FLOAT WITH WATERTIGHT COMPARTMENTS COMPROMISED.   THE PILOT, DESPITE HIS FACIAL INJURIES, STATED HE SUMPED THE RIGHT FLOAT PRIOR TO THE ACCIDENT AND DETERMINED THE FLOAT WAS ""DRY"".",,,,,,,,
20190822012149I,"AIRCRAFT IS A MOTOR-GLIDER, PILOT WAS SOARING FOR 30 MINUTES THEN ATTEMPTED TO START ENGINE WITH NO SUCCESS, THE LOSS OF LIFT PUSHED HIM INTO LANDING IN A VACANT FIELD. THE LANDING WAS GOOD BUT THE GROUND WAS WET & MUDDY THUS CAUSING THE WHEELS & LANDING GEARS TO SINK AND FLIPPED AIRCRAFT OVER.",,,,,,,,
20190822012159I,AFTER APPROXIMATELY 1 HOUR OF FLYING AND WHILE IN ROUTE BACK TO DEPARTURE AIRPORT THE AIRCRAFT SUFFERED A LOSS OF OIL PRESSURE AND WAS FORCED TO LAND IN A WHEAT FIELD. THE AIRCRAFT ONLY SUSTAINED MINOR DAMAGE AND THE PILOT DID NOT RECEIVE ANY INJURIES.,,,,,,,,
20190822012169I,"WINDSHIELD HEATING ELEMENT CAUGHT FIRE ON AIRCRAFT AT 38,000 FEET. THE PILOT DECLARED AN EMERGENCY AND LANDED SAFELY AT MCCARRAN AIRPORT (KLAS).  THE FIRE WAS PUT OUT BY THE USE OF A FIRE EXTINGUISHER AFTER THE AIRCRAFT HAD STOPPED.",,,,,,,,
20190822013839A,"A STUDENT PILOT WAS ON HIS FIRST SOLO FLIGHT PERFORMING TOUCH AND GO TAKE OFF?S AND LANDINGS ON RUNWAY 23 AT HEMET RYAN AIRPORT (KHMT). ON THE APPROACH TO THE THIRD LANDING, THE AIRCRAFT WAS COMING IN TOO FAST AT APPROXIMATELY 60 KNOTS. AFTER TOUCH DOWN, THE AIRCRAFT BEGAN TO VEER TO THE LEFT OF THE RUNWAY CENTERLINE. AS THE AIRCRAFT CONTINUED TO VEER TO THE LEFT, THE STUDENT REACTED BY APPLYING FULL THROTTLE TO PERFORM A TOUCH AND GO, BUT DID NOT APPLY RIGHT RUDDER IN ATTEMPT TO GET THE AIRCRAFT BACK ON TO THE CENTERLINE. THE AIRCRAFT VEERED OFF THE RUNWAY, THROUGH A DITCH AND STOPPED IN A FIELD.",,,,,,,,
20190822016759A,"BURNSVILLE, NC (2NC0): N404PE, SR22, GYH-1G5, ALNOT ISSUED BY ZTL AFTER PILOT REPORTED DEPLOYING PARACHUTE PARACHUTE WAS OBSERVED 2 MILES SOUTH OF THE BURNSVILLE, NC MOUNTAIN AIR AIRPORT (2NC0). CAP LOCATED AIRCRAFT ON RIDGE NEAR MT. MITCHELL. POB: 2, INJURIES: NONE, DAMAGE: DESTROYED",,,,,,,,
,,,,,,,,,
