c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record,
20190219010369I,I,135,   , ,2019,2,19,20190219,25,9, , , , , , ,   ,    , , , ,,    ,4,F,TR,  ,  ,222224,1036, , , , ,403SL,ISRAEL,GULFSTREAM 2,      ,        ,  ,STRD,4871,* ,  ,P&W CA,PW306A       ,      ,        ,  ,     ,SO,SO19,FL,MIAMI          ,,,MIA ,,,,,,,,,,,,,,,,MIA ,,,,,10,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20191205,,,,20191205,9,N,,,,,,,,,,,,,"WHILE ON DEPARTURE OUT OF ASE AIRPORT, N403SL EXPERIENCED A BLOWN TIRE.  AFTER DEPARTING THE MOUNTAINOUS AREA, THEY",A-OK JETS                     ,  ,FAUA,           ,  ,    ,      ,                    ,32, , , ,  , , , ,  ,TR,M, ,   , , , , , , ,AIRLINE TRANSPORT   ,                    ,                    ,                    ,                    ,3246,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Rotation   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,750 HP AND OVER               ,TURBOFAN/TURBOJET BYPASS      ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19550601,, ,
20190219010379A,A,141,   , ,2019,2,19,20190219,1712,9, , , , , , ,   ,    , , , ,,    , , ,SD,  ,  ,222225,1037, , , , ,512GS,ROBINS,R22 BETA    ,      ,        ,  ,STRD,,* ,  ,LYCOMI,O&VO-360 SER ,      ,        ,  ,     ,SO,SO35,FL,CLEARWATER     ,CLEARWATER AIR PARK           ,,KCLW,,,,,,,,,,,,,,,,KCLW,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191205,,,,20191205,F1,N,,,,,,500,,50,900,,,,"ON FEBRUARY 19, 2019, ABOUT 1712 EASTERN STANDARD TIME, A ROBINSON RV22 BETA, N512GS, COLLIDED WITH TERRAIN FOLLOWI",SKYCO                         ,  ,22LS,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TX,S, ,   , , , , , , ,PRIVATE PILOT FLT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Taxi                ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Skids                         ,                    ,                    ,                    ,                    ,19921105,, ,
20190220010389A,A,91,   , ,2019,2,20,20190220,1712,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,222226,1038, , , , ,381DE,CIRRUS,SR22        ,      ,        ,  ,STRD,,* ,  ,CONT M,IO-550-N     ,      ,        ,  ,     ,SW,SW15,OK,TULSA          ,RICHARD LLOYD JONES JR        ,,RVS ,,,,,,,,,,,,,,,,RVS ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191205,,,,20191205,1,N,,,,,,724,,81,1132,,,,PILOT DEPARTED RVS AT 1530 CST. AT APPROX 1710 CST PILOT WAS CLEARED TO LAND AT KRVS RWY 19L. IN THE FLARE ABOUT 1 ,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19610205,, ,
20190220010399I,I,91,   , ,2019,2,20,20190220,1759,9, , , , , , ,   ,    , , , ,,    , , ,AH,  ,  ,222227,1039, , , , ,117CX,WILLIA,THATCHER CX4,      ,        ,  ,EXPT,145,* ,  ,AMA/EX,UNKNOWN ENG  ,      ,        ,  ,     ,SO,SO19,FL,TAMIAMI        ,,,TMB ,,,,,,,,,,,,,,,,TMB ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191205,,,,20191205,3,N,,,,,,,,,,,,,"WHILE ON DEPARTURE, N117CX EXPERIENCED A LOSS OF POWER AFTER GEAR RETRACTION AND HE MADE A LANDING ON THE BELLY OF ",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TR,M, ,   , , , , , , ,COMMERCIAL PILOT    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Rotation   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Amphibious Hull               ,                    ,                    ,                    ,                    ,19541101,, ,
20190220010409I,I,91,   , ,2019,2,20,20190220,1545,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,222228,1040, , , , ,78PW ,PIPER ,PA-24-250   ,      ,        ,  ,STRD,,* ,  ,LYCOMI,0-540 SERIES ,      ,        ,  ,     ,NM,NM03,CO,ENGLEWOOD      ,,,APA ,,,,,,,,,,,,,,,,APA ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191205,,,,20191205,1,N,,,,,,1517,,,2812,,,,"ON 2/20/2019 AT 1545 MST, N78PW A PIPER PA-24 250, RIGHT WINGTIP CONTACTED THE GROUND DURING LANDING ROLL OUT AT AP",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,M, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19420921,, ,
20190221010419A,A,91,   , ,2019,2,21,20190221,1026,9, , , , , , ,   ,1L72,1,L,7,2,3O  , , ,TR,  ,  ,222229,1041, , , , ,7KY  ,BEECH ,76,      ,        ,  ,STRD,4428,* ,  ,LYCOMI,O-360 & IO-36,      ,        ,  ,     ,CE,CE17,KY,FRANKFORT      ,CAPITOL CITY AIRPORT          ,25,FFT ,,,38 10N,84 53W,,,,,,,,,,DRY,,FFT ,,,,,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2,20191209,,,,20191209,F9,N,,,,,,78,,18,22189,,,,"FRANKFORT, KY (FFT): N7KY, BE76, CRASHED OFF THE DEPARTURE END OF RUNWAY 25 FOR UNKNOWN REASONS WHILE CONDUCTING A ",NEXGEN                        ,  ,3NXS,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,D, ,   , , , , , , ,A/LINE TRANSPORT PLT,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19421231,, ,
20190321010681A,A,141,   , ,2019,3,21,20190321,1100,G, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,222258,1068, , , , ,20521,CESSNA,172M        ,      ,        ,  ,STRD,,* ,  ,LYCOMI,0-320 SERIES ,      ,        ,  ,     ,SO,SO19,FL,HOLLYWOOD      ,HOLLYWOOD PERRY               ,,HWO ,,,,,,,,,,,,,,,,HWO ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191212,,,,20191212,XX,Y,,,,,,,,,,,,,"HOLLYWOOD, FL (HWO): N20521, C172, STRUCK N704VM, C152, WHILE TAXING TO RUNWAY 1R. N704VM HAD 2 OCCUPANTS ON BOARD ",ATLANTIS FLIGHT ACADEMY INC   ,  ,4T5S,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TX,M, ,   , , , , , , ,STUDENT             ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Taxi                ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,20000117,, ,
20190628011219A,A,91,   , ,2019,6,28,20190628,1015,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,222315,1121, , , , ,1802Y,BEECH ,77,      ,        ,  ,STRD,2115,* ,  ,LYCOMI,0-235 SERIES ,0-235 ,        ,  ,     ,SO,SO15,FL,LEESBURG       ,,,LEE ,,,28 49N,81 48W,,,,,,,,,,,,LEE ,,,,,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,20191223,,,,20191223,F3,N,,,,,,11,,17,2000,,,,"ON JUNE 28TH, 2019 AT 10:15 AM, AIRCRAFT N1802Y, A BEECH BE-77 AIRCRAFT, CRASHED INTO A HEAVILY FORESTED UNIMPROVED",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,D, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19501231,19521208, ,
20190612011199A,A,91,   , ,2019,6,12,20190612,730,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,CV,  ,  ,222313,1119, , , , ,83391,AERONC,7DC         ,      ,        ,  ,STRD,828,* ,  ,      ,             ,      ,        ,  ,     ,AL,AL01,AK,NOME CREEK     ,,,,,,65 20N,14643W,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191223,,,,20191223,,N,,,,,,,,,,,,,THE PILOT LANDED HIS AIRCRAFT ON AN AREA ALONG THE NOME CREEK IN ALASKA.  ON TOUCHDOWN THE TAILWHEEL ASSEMBLY BROKE,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,S, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,,, ,
20190613011209A,A,91,   , ,2019,6,13,20190613,1945,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,222314,1120, , , , ,324SB,BRYNER,JUST ACFT HI,      ,        ,  ,EXPT,,* ,  ,ROTAX ,912ULS SERIES,      ,        ,  ,     ,SW,SW19,TX,QUINLAN        ,ROCKIN M AIRPORT              ,,T14 ,,,,,,,,,,,,,,,,T14 ,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191223,,,,20191223,F3,N,,,,,,19,,279,10925,,,,"ON JUNE 13, 2019, AT APPROXIMATELY 1930 CENTRAL DAYLIGHT TIME, AN AMATEUR-BUILT JUST AIRCRAFT HIGHLANDER, N324SB, I",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,S, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19860715,, ,
20190605011189A,A,91,   , ,2019,6,5,20190605,1515,9, , , , , , ,   ,    , , , ,,    , , ,OT,  ,  ,222312,1118, , , , ,3004S,CAMERO,A-275       ,      ,        ,  ,STRD,,* ,  ,NONE  ,NONE         ,N/A   ,        ,  ,     ,WP,WP07,AZ,SEDONA         ,,,SEZ ,,,,,,,,,,,,,,,,SEZ ,,,,,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,20191223,,,,20191223,,N,,,,,,,,,,,,,"ON 6-5-2019 DURING THE LANDING OF N3004S IN SEDONA, AZ, A GROUND PERSON ELECTED TO JUMP ON THE BALLOON BASKET PLATF",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,N, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,"Other, Specify                ",                    ,                    ,                    ,                    ,,, ,
20190531011179A,A,91,   , ,2019,5,31,20190531,1030,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,222311,1117, , , , ,530AK,PIPER ,PA-18-150   ,      ,        ,  ,STRD,,* ,  ,AMA/EX,UNKNOWN ENG  ,      ,        ,  ,     ,GL,GL19,IL,SPARTA         ,SPARTA COMMUNITY AIRPORT      ,,SAR ,,,38 08N,89 41W,,,,,,,,,,DRY,,SAR ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191223,,,,20191223,1,N,,,,,,10,,50,2000,,,,THE PIC STATED THAT HE WAS ON ROLLOUT FROM THE LANDING WITH A SLIGHT CROSS WIND.  HE STATED THAT HIS RIGHT TIRE GRI,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19570128,, ,
20190126011509A,A,91,   , ,2019,1,26,20190126,1546,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,222344,1150, , , , ,6136V,BEECH ,S35         ,      ,        ,  ,STRD,2381,* ,  ,CONT M,IO 550 SERIES,B     ,        ,  ,     ,CE,CE17,KY,LEXINGTON      ,LEXINGTON BLUEGRASS AIRPORT   ,,LEX ,,,38 05N,84 57W,,,,,,,,,,,,LEX ,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191231,,,20191007,20191231,9,N,,,,,,700,,13,13753,,,,"ON JANUARY 26, 2019 THE AIRCRAFT DEPARTED LEHIGH VALLEY INTERNATIONAL AIRPORT. THE  AIRCRAFT SHOWED ON ADS-B AT 12:",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,S, ,   , , , , , , ,AIRLINE TRANSPORT   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19610802,, ,
20190713011489I,I,91,   , ,2019,7,13,20190713,1515,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,222342,1148, , , , ,252DP,BEECH ,E-55        ,      ,        ,  ,STRD,1053,* ,  ,CONT M,IO 520 SERIES,N/A   ,        ,  ,     ,SO,SO35,FL,SARASOTA       ,SARASOTA/BRADENTON INTL       ,,SRQ ,,,,,,,,,,,,,,,,SRQ ,,,,,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20191231,,,,20191231,,N,,,,,,,,,703,,,,"ON 13 JULY 24, 2019 THE AIRCRAFT WAS BEING OPERATED BY A FLIGHT INSTRUCTOR PERFORMING MULTIPLE ?FULL STOP, TAXI AND",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TX,M, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Taxi                ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19910123,, ,
20190713011499A,A,91,   , ,2019,7,13,20190713,1030,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,CV,  ,  ,222343,1149, , , , ,517LA,CESSNA,172S        ,      ,        ,  ,STRD,4933,* ,  ,LYCOMI,IO-360-L2A   ,      ,        ,  ,     ,SW,SW09,TX,KATY           ,,,,,,29 46N,95 43W,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,20191231,,,,20191231,1,N,,,,,,,,,303,,,,AIRCRAFT TOOK OFF FROM WEST HOUSTON AIRPORT CLIMBING TO THE WEST AND TURNING SOUTH. CLIMBING TO 1500 FEET AT 150 KN,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,D, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19491219,, ,
20190713011519A,A,91,   , ,2019,7,13,20190713,1856,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,222345,1151, , , , ,NONE ,      ,            ,      ,        ,  ,    ,,,  ,      ,             ,      ,        ,  ,     ,CE,CE19,TN,OLIVER SPRINGS ,OLIVER SPRINGS                ,33,TN08,,,,,,,,,,,,,,DRY,,TN08,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,20191231,,,,20191231,TT,N,,,,,,,,,,,,,"THE AIRCRAFT DEPARTED UNDER VFR FLIGHT RULES FROM OLIVER SPRINGS PRIVATE AIRPORT (TN08) IN OLIVER SPRINGS, TENNESSE",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,D, ,   , , , , , , ,PILOT NOT CERTIFICAT,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19740118,, ,
20190713011559A,A,91,   , ,2019,7,13,20190713,1145,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,CV,  ,  ,222349,1155, , , , ,3886V,CESSNA,120,      ,        ,  ,STRD,3192,* ,  ,      ,             ,      ,        ,  ,     ,SO,SO13,SC,SUMMIT         ,FARM                          ,,24SC,,,,,,,,,,,,,,,,24SC,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191231,,,,20191231,3,N,,,,,,,,,452,,,,N3886V TRANSITIONED FROM TOUCH AND GO TO CLIMB OUT ON A PRIVATE GRASS STRIP. THE ENGINE BEGAN TO SPUTTER AND THE PI,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,S, ,   , , , , , , ,COMMERCIAL PILOT    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19831111,, ,
20190714011599I,I,91,   , ,2019,7,14,20190714,840,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,222353,1159, , , , ,7289B,BEECH ,J35         ,      ,        ,  ,STRD,,* ,  ,CONT M,I0-470 SERIES,N/A   ,        ,  ,     ,GL,GL19,IL,MT. ZION       ,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191231,,,,20191231,1,N,,,,,,,,,7500,,,,INSPECTOR ^PRIVACY DATA OMITTED^ RECEIVED A PHONE CALL FROM THE FAA REGIONAL OPERATIONS CENTER AT 09:16 CDT OF A BE,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19380404,, ,
20190714011629A,A,91,   , ,2019,7,14,20190714,1100,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,222356,1162, , , , ,29516,CESSNA,177,      ,        ,  ,STRD,,* ,  ,LYCOMI,0-320 SERIES ,UNKNOW,        ,  ,     ,GL,GL09,IN,ELKHART        ,ELKHART MUNICIPAL AIRPORT     ,,EKM ,,,,,,,,,,,,,,,,EKM ,,,,,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191231,,,,20191231,1,N,,,,,,,,,,,,,"ON OR ABOUT JULY 14, 2019 AT APPROXIMATELY 11:00 EASTERN DAYLIGHT TIME, A CESSNA 177 AIRCRAFT, N29516, REGISTERED T",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,GR,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Ground/Ramp/Ma      ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19670524,, ,
20190331010699I,I,91,   , ,2019,3,31,20190331,945,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,222259,1069, , , , ,3249C,BEECH ,E35         ,      ,        ,  ,STRD,,* ,  ,CONT M,E225 SERIES  ,      ,        ,  ,     ,SW,SW09,TX,SPRING         ,,,DWH ,,,,,,,,,,,,,,,,DWH ,,,,,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191212,,,,20191212,1,N,,,,,,,,,,,,,THE AIRCRAFT WAS LANDING ON RUNWAY 35L. THE AIRCRAFT LANDED ON THE RUNWAY WITH THE LANDING GEAR PARTLY EXTENDED. TH,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19610330,, ,
20190516011289I,I,91,   , ,2019,5,16,20190516,1200,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,222322,1128, , , , ,4177S,BEECH ,V35B        ,      ,        ,  ,STRD,,* ,  ,CONT M,IO 520 SERIES,      ,        ,  ,     ,GL,GL03,IL,PERU           ,,,KVYS,,,,,,,,,,,,,,,,KVYS,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191230,,,20191219,20191230,99,N,,,,,,,,,,,,,"N4177S WAS FLYING UNDER VISUAL FLIGHT RULES (VFR) FROM ROCKWOOD AIRPORT, ROCKWOOD, TENNESSEE (KRKW) TO POPLAR GROVE",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TX,M, ,   , , , , , , ,UNKNOWN/FOREIGN     ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Taxi                ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
20190401010709A,A,91,   , ,2019,4,1,20190401,757,9, , , , , , ,   ,    , , , ,,    , , ,OT,  ,  ,222260,1070, , , , ,6954Y,CAMERO,A-400       ,      ,        ,  ,STRD,223,* ,  ,NONE  ,NONE         ,N/A   ,        ,  ,     ,WP,WP25,CA,YOUNTVILLE     ,NAPA COUNTY                   ,,APC ,,,,,,,,,,,,,,,,APC ,,,,,20,19,0,3,1,0,0,0,0,0,0,0,0,0,0,3,20191212,,,,20191212,,N,,,,,,,,,,,,,THE BALLOON WAS CAUGHT IN A DOWN DRAFT AND CAME IN CONTACT WITH A POWER LINE.                                      ,BALLOONS ABOVE THE VALLEY     ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,N, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,"Other, Specify                ",                    ,                    ,                    ,                    ,,, ,
